ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,47660,HOPHEAD - TROPICAL HAZE MICRO IPA TALL CAN,6.24524E+11,0.473,4,3.5,12.99,NA
Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,52811,BLANTON'S - ORIGINAL,80244002039,0.75,1,46.5,109.99,NA
Wine,Italy Wine,Prosecco Wine,ITALY,58741,ZAGO - PROSECCO ROSE BRUT 2019,8.02589E+12,0.75,1,11.5,29.99,1
Wine,Canada - BC,Canada - BC Rose Wine,CANADA,63762,PINK POODLE - ROSE,63657043219,0.75,1,12,9.99,0
Wine,Spain Wine,Spain Sparkling Wine,SPAIN,74714,ALBET I NOYA - PETIT ALBET PENEDES BRUT RESERVA ORGANIC 2017,8.437E+12,0.75,1,12,26.99,1
Wine,France Wine,France White Wine,FRANCE,95034,PESSEC LEOGNAN BLANC - LA CLARTE DE HAUT BRION 2013,,0.75,1,14,179,0
Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,110489,ARDBEG - SCORCH,5.01049E+12,0.75,1,46,175.99,NA
Wine,France Wine,France Red Wine,FRANCE,143382,PAUILLAC - CARRUADES DE LAFITE 2018,,0.75,1,13,550,NA
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,407007,CABERNET SAUVIGNON - MICHEL TORINO DON DAVID RESERVE,7.79019E+12,0.75,1,14,16.49,0
Wine,Fortified Wine,Port Wine,PORTUGAL,423900,TAYLOR FLADGATE - VINTAGE 2018,5.01363E+12,1.5,1,20,305.99,10
Spirits,Vodka,Flavoured Vodka,LATVIA,448688,STOLICHNAYA - BLUEBERI,4.75002E+12,0.75,1,37.5,24.99,NA
Wine,France Wine,France Red Wine,FRANCE,461572,VIN DE FRANCE ROUGE - DOMAINE DE LA MORDOREE SANS SULFITES,7.95898E+11,0.75,1,13,30.99,0
Wine,Canada - BC,Canada - BC Red Wine,CANADA,734541,BLASTED CHURCH - CABERNET SAUVIGNON MERLOT 2018,6.2699E+11,0.75,1,14,30.99,0
Spirits,Whisky,Canadian Whisky,CANADA,3558,GIBSONS - FINEST RARE 12 YEAR OLD,83664870387,0.75,1,40,34.99,NA
Spirits,Whisky,Other Country Whisky,JAPAN,14723,NIKKA - YOICHI SINGLE MALT,4.90423E+12,0.7,1,45,94.99,NA
Wine,France Wine,France White Wine,FRANCE,16160,CHATEAU LATOUR MARTILLAC BLANC 2015,7.14153E+11,0.75,1,13,60,0
Wine,Fortified Wine,Other Fortified Import Wine,FRANCE,32631,LILLET BLANC,87236411015,0.75,1,17,19.99,3
